"start","end","Duration (h)"
2016-07-27 07:40:00,2016-07-27 07:55:00,0.25
2016-07-27 17:05:00,2016-07-27 17:20:00,0.25
2016-07-27 18:35:00,2016-07-27 18:50:00,0.25
2016-08-01 06:25:00,2016-08-01 06:40:00,0.25
2016-08-11 19:55:00,2016-08-12 00:35:00,4.66666666666667
2016-08-12 00:45:00,2016-08-12 03:30:00,2.75
2016-08-12 20:15:00,2016-08-12 23:20:00,3.08333333333333
2016-08-12 23:30:00,2016-08-13 00:45:00,1.25
2016-08-22 19:25:00,2016-08-23 02:40:00,7.25
2016-08-23 18:50:00,2016-08-24 01:55:00,7.08333333333333
2016-09-07 18:25:00,2016-09-08 04:00:00,9.58333333333333
2016-09-08 18:20:00,2016-09-09 04:25:00,10.0833333333333
2016-09-09 18:20:00,2016-09-10 04:55:00,10.5833333333333
2016-09-10 18:10:00,2016-09-10 23:35:00,5.41666666666667
2016-09-10 23:45:00,2016-09-11 04:35:00,4.83333333333333
2016-09-11 20:30:00,2016-09-11 23:55:00,3.41666666666667
2016-09-12 02:35:00,2016-09-12 03:50:00,1.25
2016-09-19 05:15:00,2016-09-19 05:30:00,0.25
2016-09-20 20:40:00,2016-09-21 02:10:00,5.5
2016-09-21 17:10:00,2016-09-21 17:25:00,0.25
2016-09-23 07:05:00,2016-09-23 07:25:00,0.333333333333333
2016-10-17 10:35:00,2016-10-17 11:00:00,0.416666666666667
2016-10-23 20:00:00,2016-10-23 23:45:00,3.75
2016-10-23 23:55:00,2016-10-24 02:00:00,2.08333333333333
2016-11-07 07:50:00,2016-11-07 08:05:00,0.25
2017-02-10 17:45:00,2017-02-10 18:00:00,0.25
2017-02-11 12:45:00,2017-02-11 13:00:00,0.25
2017-02-12 06:05:00,2017-02-12 06:20:00,0.25
2017-03-20 18:40:00,2017-03-21 05:30:00,10.8333333333333
2017-03-21 18:40:00,2017-03-21 21:50:00,3.16666666666667
2017-03-21 22:15:00,2017-03-21 22:50:00,0.583333333333333
2017-03-22 23:40:00,2017-03-23 02:15:00,2.58333333333333
2017-03-26 16:00:00,2017-03-26 16:15:00,0.25
2017-04-01 18:40:00,2017-04-02 05:30:00,10.8333333333333
2017-04-02 18:40:00,2017-04-03 05:15:00,10.5833333333333
2017-04-03 18:40:00,2017-04-04 04:55:00,10.25
2017-04-04 18:35:00,2017-04-05 04:55:00,10.3333333333333
2017-04-06 03:10:00,2017-04-06 05:00:00,1.83333333333333
2017-04-10 12:00:00,2017-04-10 12:25:00,0.416666666666667
2017-04-13 19:00:00,2017-04-14 04:30:00,9.5
2017-04-14 18:55:00,2017-04-15 09:25:00,14.5
2017-04-15 19:35:00,2017-04-15 22:25:00,2.83333333333333
2017-04-17 19:40:00,2017-04-18 03:45:00,8.08333333333333
2017-04-20 18:50:00,2017-04-21 03:50:00,9
2017-04-21 05:50:00,2017-04-21 06:05:00,0.25
2017-04-21 21:50:00,2017-04-22 00:35:00,2.75
2017-04-22 04:25:00,2017-04-22 05:10:00,0.75
